pending_more_than_125,date
75395,2016-01-04
80173,2016-01-11
78113,2016-01-18
79295,2016-01-25
77437,2016-02-01
83157,2016-02-08
82532,2016-02-16
82444,2016-02-22
81451,2016-02-29
84838,2016-03-07
83178,2016-03-14
80978,2016-03-21
80582,2016-03-28
77483.00000000001,2016-04-04
79677,2016-04-11
79067,2016-04-18
78533,2016-04-25
75883,2016-05-02
76532,2016-05-09
74589,2016-05-16
74452,2016-05-23
73049,2016-05-31
76200.99999999999,2016-06-06
75880.99999999999,2016-06-13
75353,2016-06-20
74063,2016-06-27
74374,2016-07-04
78577,2016-07-11
78474,2016-07-18
77667,2016-07-25
75794,2016-08-01
77963,2016-08-08
76915,2016-08-15
77360,2016-08-22
76531,2016-08-29
74449,2016-09-03
74934,2016-09-10
72801,2016-09-17
70584,2016-09-24
67588,2016-10-01
70652,2016-10-08
72943,2016-10-15
78134,2016-10-22
75074,2016-10-29
79191,2016-11-05
84129,2016-11-12
80997,2016-11-19
90070,2016-11-26
87746,2016-12-03
92853,2016-12-10
92347,2016-12-17
93226,2016-12-24
90397,2016-12-31
93150,2017-01-07
96511,2017-01-14
91742,2017-01-21
97119,2017-01-28
100593,2017-02-04
93096,2017-02-11
91823,2017-02-18
93204,2017-02-25
93090,2017-03-04
94425,2017-03-11
99754,2017-03-18
94774,2017-03-25
92057,2017-04-01
99233,2017-04-08
92695,2017-04-15
92235,2017-04-22
89281,2017-04-29
88604,2017-05-06
86001,2017-05-13
85041,2017-05-20
84106,2017-05-30
85725,2017-06-03
87643,2017-06-10
87796,2017-06-19
87186,2017-06-24
85188,2017-07-01
87644,2017-07-08
85272,2017-07-17
83743,2017-07-24
82179,2017-07-31
82133,2017-08-07
79692,2017-08-14
77546,2017-08-21
75958,2017-08-28
76367,2017-09-05
75066,2017-09-11
73936,2017-09-18
71604,2017-09-25
69318,2017-10-02
70089,2017-10-10
70063,2017-10-16
69722,2017-10-23
69194,2017-10-30
70227,2017-11-06
68728,2017-11-13
69158,2017-11-20
70928,2017-11-27
70771,2017-12-04
76277,2017-12-11
71671,2017-12-18
72440,2017-12-27
74582,2018-01-01
78126,2018-01-08
74429,2018-01-16
75531,2018-01-22
74619,2018-01-29
77073,2018-02-05
76018,2018-02-12
74332,2018-02-19
74732,2018-02-26
74189,2018-03-05
75854,2018-03-12
74859,2018-03-19
73979,2018-03-26
70475,2018-04-02
72084,2018-04-09
71563,2018-04-16
71272,2018-04-23
70974,2018-04-28
69082,2018-05-07
67027,2018-05-14
66816,2018-05-21
65544,2018-05-29
67564,2018-06-04
69105,2018-06-11
69622,2018-06-18
69918,2018-06-25
70132,2018-07-02
73815,2018-07-09
77215,2018-07-14
76329,2018-07-23
77609,2018-07-30
79119,2018-08-06
80408,2018-08-13
81287,2018-08-20
81711,2018-08-27
81323,2018-09-04
83578,2018-09-10
83576,2018-09-17
82799,2018-09-24
81973,2018-10-01
82238,2018-10-08
83366,2018-10-15
82513,2018-10-22
81649,2018-10-29
84383,2018-11-05
79880,2018-11-13
82532,2018-11-19
83665,2018-11-26
79330,2018-12-03
81158,2018-12-10
83167,2018-12-17
82832,2018-12-24
85588,2018-12-31
84588,2019-01-07
83089,2019-01-14
77094,2019-01-22
81488,2019-01-28
81073,2019-02-04
81083,2019-02-11
79681,2019-02-18
83005,2019-02-25
80450,2019-03-04
81887,2019-03-11
81966,2019-03-18
81536,2019-03-25
78007,2019-04-01
80501,2019-04-08
79562,2019-04-15
79853,2019-04-22
79497,2019-04-29
76085,2019-05-06
74208,2019-05-13
74382,2019-05-20
75086,2019-05-27
75161,2019-06-03
75988,2019-06-10
75187,2019-06-17
74621,2019-06-24
73233,2019-07-01
77558,2019-07-08
77857,2019-07-15
75422,2019-07-22
73870,2019-07-29
73775,2019-08-05
72946,2019-08-12
73810,2019-08-17
72977,2019-08-24
71743,2019-08-31
72821,2019-09-07
71151,2019-09-14
70681,2019-09-21
70355,2019-09-28
71017,2019-10-05
72053,2019-10-12
72844,2019-10-21
71705,2019-10-26
73019,2019-11-04
70562,2019-11-11
69587,2019-11-18
66811,2019-11-25
66972,2019-12-02
66594,2019-12-07
65166,2019-12-14
64783,2019-12-21
67724,2019-12-28
70875,2020-01-04
68222,2020-01-11
68911,2020-01-18
69622,2020-01-25
69933,2020-02-01
71162,2020-02-08
70689,2020-02-15
71521,2020-02-22
71481,2020-02-29
73284,2020-03-07
74406,2020-03-14
74516,2020-03-21
75311,2020-03-28
74625,2020-04-04
75146,2020-04-11
77064,2020-04-18
80187,2020-04-25
80155,2020-05-02
96088,2020-05-09
101456,2020-05-16
108348,2020-05-23
115338,2020-05-30
125535,2020-06-06
133900,2020-06-13
143483,2020-06-20
153603,2020-06-27
168172,2020-07-04
180099,2020-07-11
191288,2020-07-18
197166,2020-07-25
198770,2020-08-03
202748,2020-08-10
203430,2020-08-17
203233,2020-08-24
202207,2020-08-31
204158,2020-09-08
205341,2020-09-14
205152,2020-09-21
204302,2020-09-28
203837,2020-10-05
203922,2020-10-12
204102,2020-10-19
202735,2020-10-26
201493,2020-11-02
203550,2020-11-09
204476,2020-11-16
203435,2020-11-23
204985,2020-11-30
208047,2020-12-07
207230,2020-12-14
206336,2020-12-21
